maximum number of tiles in grid [#],GLOBE size [B],GLOBE+GSHHG size [B],GLOBE+NE size [B],GSHHG size [B],NE size [B],"OS Terrain 50" size [B],total size [B]
156,0,0,0,1188085,1621876,0,2809961
157,0,0,0,1188085,1621876,0,2809961
158,0,0,0,1188085,1621876,0,2809961
159,0,0,0,1188085,1621876,0,2809961
160,0,0,0,1188085,1621876,0,2809961
161,0,0,0,1188085,1621876,0,2809961
162,14645512,29772773,20412527,1188085,1621876,0,67640773
163,14645512,29772773,20412527,1188085,1621876,0,67640773
164,14645512,29772773,20412527,1188085,1621876,0,67640773
165,14645512,29772773,20412527,1188085,1621876,0,67640773
166,14645512,29772773,20412527,1188085,1621876,0,67640773
167,14645512,29772773,20412527,1188085,1621876,0,67640773
168,14645512,29772773,20412527,1188085,1621876,0,67640773
169,14645512,29772773,20412527,1188085,1621876,0,67640773
170,14645512,29772773,20412527,1188085,1621876,0,67640773
171,14645512,29772773,20412527,1188085,1621876,0,67640773
172,14645512,29772773,20412527,1188085,1621876,0,67640773
173,14645512,29772773,20412527,1188085,1621876,0,67640773
174,14645512,29772773,20412527,1188085,1621876,0,67640773
175,14645512,29772773,20412527,1188085,1621876,0,67640773
176,14645512,29772773,20412527,1188085,1621876,0,67640773
177,14645512,29772773,20412527,1188085,1621876,0,67640773
178,14645512,29772773,20412527,1188085,1621876,0,67640773
179,14645512,29772773,20412527,1188085,1621876,0,67640773
180,14645512,29772773,20412527,1188085,1621876,0,67640773
181,14645512,29772773,20412527,1188085,1621876,0,67640773
182,14645512,29772773,20412527,1188085,1621876,0,67640773
183,14645512,29772773,20412527,1188085,1621876,0,67640773
184,14645512,29772773,20412527,1188085,1621876,0,67640773
185,14645512,29772773,20412527,1188085,1621876,0,67640773
186,14645512,29772773,20412527,1188085,1621876,0,67640773
187,14645512,29772773,20412527,1188085,1621876,0,67640773
188,14645512,29772773,20412527,1188085,1621876,0,67640773
189,14645512,29772773,20412527,1188085,1621876,0,67640773
190,14645512,29772773,20412527,1188085,1621876,0,67640773
191,14645512,29772773,20412527,1188085,1621876,0,67640773
