buffer distance [km],buffer Euclidean area [°2]
9976,3.189893507515019e+04
9977,3.191182977213393e+04
9978,3.192474541733606e+04
9979,3.193768164057481e+04
9980,3.195063804960342e+04
9981,3.196361422997488e+04
9982,3.197660974496474e+04
9983,3.198962413555495e+04
9984,3.200265692048256e+04
9985,3.201570759635407e+04
9986,3.202877563782947e+04
9987,3.204186049787594e+04
9988,3.205496160809460e+04
9989,3.206807837911931e+04
9990,3.208121020108997e+04
9991,3.209435644419871e+04
9992,3.210751645931029e+04
9993,3.212068957865442e+04
9994,3.213387511658932e+04
9995,3.214707237043471e+04
9996,3.216028062137139e+04
9997,3.217349913540500e+04
9998,3.218672716438973e+04
9999,3.219996394710927e+04
10000,3.221320871041010e+04
10001,3.222646067038104e+04
10002,3.249199543751376e+04
10003,3.250525356005874e+04
10004,3.251850522926181e+04
10005,3.253174965231160e+04
10006,3.254498604602037e+04
10007,3.255821363804395e+04
10008,3.257143166805850e+04
10009,3.258463938889030e+04
10010,3.259783606759213e+04
10011,3.261102098646345e+04
