buffer distance [km],buffer Euclidean area [°2]
9976,3.194136696694216e+04
9977,3.195543013297244e+04
9978,3.196956515746499e+04
9979,3.198377415457565e+04
9980,3.199805930650068e+04
9981,3.201242285428201e+04
9982,3.202686708418898e+04
9983,3.204139430848447e+04
9984,3.205600683918128e+04
9985,3.207070695318809e+04
9986,3.208549684709377e+04
9987,3.210037857975222e+04
9988,3.211535400089644e+04
9989,3.213042466427788e+04
9990,3.214559172440647e+04
9991,3.216085581693506e+04
9992,3.217621692417256e+04
9993,3.219167422916377e+04
9994,3.220722596418874e+04
9995,3.222286926224988e+04
9996,3.223860002281295e+04
9997,3.225441280525580e+04
9998,3.227030076456052e+04
9999,3.228625564314904e+04
10000,3.230226782994285e+04
10001,3.231832649262675e+04
10002,3.239748883842358e+04
10003,3.241358019609216e+04
10004,3.242963609452002e+04
10005,3.244564474656222e+04
10006,3.246159539806856e+04
10007,3.247747852758020e+04
10008,3.249328597350407e+04
10009,3.250901098828811e+04
10010,3.252464822599660e+04
10011,3.254019367463555e+04
