buffer distance [km],buffer Euclidean area [°2]
9976,3.015071111717388e+04
9977,3.015827030721654e+04
9978,3.016582995389515e+04
9979,3.017339005408381e+04
9980,3.018095060465442e+04
9981,3.018851160247670e+04
9982,3.019607304441834e+04
9983,3.020363492734487e+04
9984,3.021119724811979e+04
9985,3.021876000360452e+04
9986,3.022632319065846e+04
9987,3.023388680613897e+04
9988,3.024145084690142e+04
9989,3.024901530979922e+04
9990,3.025658019168378e+04
9991,3.026414548940464e+04
9992,3.027171119980931e+04
9993,3.027927731974350e+04
9994,3.028684384605096e+04
9995,3.029441077557363e+04
9996,3.030197810515158e+04
9997,3.030954583162305e+04
9998,3.031711395182450e+04
9999,3.032468246259059e+04
10000,3.033225136075417e+04
10001,3.033982064314637e+04
10002,3.438415667075511e+04
10003,3.439172898482750e+04
10004,3.439930091737663e+04
10005,3.440687246523381e+04
10006,3.441444362523104e+04
10007,3.442201439420225e+04
10008,3.442958476898316e+04
10009,3.443715474641128e+04
10010,3.444472432332595e+04
10011,3.445229349656839e+04
