buffer distance [km],buffer Euclidean area [°2]
9976,3.194383334166315e+04
9977,3.195799160531515e+04
9978,3.197222936345531e+04
9979,3.198654970011161e+04
9980,3.200095593672460e+04
9981,3.201545165869221e+04
9982,3.203004074547702e+04
9983,3.204472740465620e+04
9984,3.205951621019917e+04
9985,3.207441214502334e+04
9986,3.208942064739045e+04
9987,3.210454765977483e+04
9988,3.211979967716007e+04
9989,3.213518378880476e+04
9990,3.215070770263466e+04
9991,3.216637973354548e+04
9992,3.218220872479507e+04
9993,3.219820385425724e+04
9994,3.221437425473344e+04
9995,3.223072835343549e+04
9996,3.224727282116101e+04
9997,3.226401103957063e+04
9998,3.228094108104879e+04
9999,3.229805338502504e+04
10000,3.231532860245015e+04
10001,3.233273636373141e+04
10002,3.238177027533411e+04
10003,3.239926492927736e+04
10004,3.241666483500198e+04
10005,3.243392977097908e+04
10006,3.245103013084329e+04
10007,3.246794729145869e+04
10008,3.248467229005969e+04
10009,3.250120363567505e+04
10010,3.251754499484011e+04
10011,3.253370320181565e+04
