buffer distance [km],buffer Euclidean area [°2]
9976,3.194445990135551e+04
9977,3.195864294622034e+04
9978,3.197290751259696e+04
9979,3.198725694214276e+04
9980,3.200169485933778e+04
9981,3.201622520853727e+04
9982,3.203085229769699e+04
9983,3.204558085031800e+04
9984,3.206041606759867e+04
9985,3.207536370336723e+04
9986,3.209043015517018e+04
9987,3.210562257597074e+04
9988,3.212094901239752e+04
9989,3.213641857752551e+04
9990,3.215204166894794e+04
9991,3.216783024659229e+04
9992,3.218379818921849e+04
9993,3.219996175267024e+04
9994,3.221634015187775e+04
9995,3.223295626643565e+04
9996,3.224983737897296e+04
9997,3.226701557030809e+04
9998,3.228452663294910e+04
9999,3.230240471504884e+04
10000,3.232066766863159e+04
10001,3.233928923531447e+04
10002,3.237393534926464e+04
10003,3.239280163036937e+04
10004,3.241140090376778e+04
10005,3.242963766116565e+04
10006,3.244748975688084e+04
10007,3.246497690146636e+04
10008,3.248213368487342e+04
10009,3.249899574451649e+04
10010,3.251559483957427e+04
10011,3.253195793041276e+04
