buffer distance [km],buffer Euclidean area [°2]
9976,3.193186038206921e+04
9977,3.194557921953005e+04
9978,3.195934646799450e+04
9979,3.197316225459389e+04
9980,3.198702662527714e+04
9981,3.200093953580241e+04
9982,3.201490084243455e+04
9983,3.202891029244772e+04
9984,3.204296751455649e+04
9985,3.205707200941728e+04
9986,3.207122314036920e+04
9987,3.208542012459922e+04
9988,3.209966202493843e+04
9989,3.211394774250938e+04
9990,3.212827601045463e+04
9991,3.214264538898112e+04
9992,3.215705426194961e+04
9993,3.217150083522795e+04
9994,3.218598313700531e+04
9995,3.220049902023155e+04
9996,3.221504616730884e+04
9997,3.222962209711044e+04
9998,3.224422417434862e+04
9999,3.225884962124841e+04
10000,3.227349553142314e+04
10001,3.228815888577852e+04
10002,3.242897473043291e+04
10003,3.244365162195207e+04
10004,3.245831397304183e+04
10005,3.247295867557012e+04
10006,3.248758271768995e+04
10007,3.250218320142574e+04
10008,3.251675735844364e+04
10009,3.253130256377866e+04
10010,3.254581634735122e+04
10011,3.256029640317213e+04
