buffer distance [km],buffer Euclidean area [°2]
9976,2.816865230646166e+04
9977,2.817478918575992e+04
9978,2.818092631365238e+04
9979,2.818706368934733e+04
9980,2.819320131205279e+04
9981,2.819933918097659e+04
9982,2.820547729532627e+04
9983,2.821161565430921e+04
9984,2.821775425713254e+04
9985,2.822389310300316e+04
9986,2.823003219112774e+04
9987,2.823617152071276e+04
9988,2.824231109096443e+04
9989,2.824845090108879e+04
9990,2.825459095029166e+04
9991,2.826073123777859e+04
9992,2.826687176275496e+04
9993,2.827301252442593e+04
9994,2.827915352199645e+04
9995,2.828529475467124e+04
9996,2.829143622165480e+04
9997,2.829757792215149e+04
9998,2.830371985536532e+04
9999,2.830986202050024e+04
10000,2.831600441675995e+04
10001,2.832214704334785e+04
10002,3.640383118570034e+04
10003,3.640997909612073e+04
10004,3.641612677554236e+04
10005,3.642227422317081e+04
10006,3.642842143820969e+04
10007,3.643456841986307e+04
10008,3.644071516733532e+04
10009,3.644686167983097e+04
10010,3.645300795655476e+04
10011,3.645915399671171e+04
