buffer distance [km],buffer Euclidean area [°2]
9976,3.112305803620032e+04
9977,3.113202925369830e+04
9978,3.114100149827139e+04
9979,3.114997475772053e+04
9980,3.115894901982566e+04
9981,3.116792427234594e+04
9982,3.117690050302017e+04
9983,3.118587769956707e+04
9984,3.119485584968546e+04
9985,3.120383494105474e+04
9986,3.121281496133502e+04
9987,3.122179589816750e+04
9988,3.123077773917478e+04
9989,3.123976047196119e+04
9990,3.124874408411294e+04
9991,3.125772856319862e+04
9992,3.126671389676939e+04
9993,3.127570007235933e+04
9994,3.128468707748573e+04
9995,3.129367489964934e+04
9996,3.130266352633483e+04
9997,3.131165294501100e+04
9998,3.132064314313110e+04
9999,3.132963410813307e+04
10000,3.133862582744005e+04
10001,3.134761828846042e+04
10002,3.337486547396830e+04
10003,3.338385997153053e+04
10004,3.339285374009391e+04
10005,3.340184676705580e+04
10006,3.341083903982752e+04
10007,3.341983054583512e+04
10008,3.342882127251969e+04
10009,3.343781120733764e+04
10010,3.344680033776099e+04
10011,3.345578865127772e+04
