buffer distance [km],buffer Euclidean area [°2]
9976,2.416242905339389e+04
9977,2.416712835802535e+04
9978,2.417182786699694e+04
9979,2.417652758012094e+04
9980,2.418122749720953e+04
9981,2.418592761807494e+04
9982,2.419062794252935e+04
9983,2.419532847038488e+04
9984,2.420002920145371e+04
9985,2.420473013554793e+04
9986,2.420943127247965e+04
9987,2.421413261206093e+04
9988,2.421883415410385e+04
9989,2.422353589842042e+04
9990,2.422823784482269e+04
9991,2.423293999312261e+04
9992,2.423764234313221e+04
9993,2.424234489466340e+04
9994,2.424704764752816e+04
9995,2.425175060153838e+04
9996,2.425645375650595e+04
9997,2.426115711224277e+04
9998,2.426586066856069e+04
9999,2.427056442527155e+04
10000,2.427526838218721e+04
10001,2.427997253911936e+04
10002,4.045005872963180e+04
10003,4.045477116125303e+04
10004,4.045948339113592e+04
10005,4.046419541909600e+04
10006,4.046890724494469e+04
10007,4.047361886849387e+04
10008,4.047833028955553e+04
10009,4.048304150794166e+04
10010,4.048775252346427e+04
10011,4.049246333593546e+04
