buffer distance [km],buffer Euclidean area [°2]
9976,3.159100853260535e+04
9977,3.160137285982306e+04
9978,3.161173981223662e+04
9979,3.162210934358528e+04
9980,3.163248140738687e+04
9981,3.164285595694192e+04
9982,3.165323294533792e+04
9983,3.166361232545350e+04
9984,3.167399404996281e+04
9985,3.168437807133975e+04
9986,3.169476434186242e+04
9987,3.170515281361766e+04
9988,3.171554343850529e+04
9989,3.172593616824300e+04
9990,3.173633095437060e+04
9991,3.174672774825483e+04
9992,3.175712650109407e+04
9993,3.176752716392289e+04
9994,3.177792968761691e+04
9995,3.178833402289759e+04
9996,3.179874012033702e+04
9997,3.180914793036285e+04
9998,3.181955740326314e+04
9999,3.182996848919129e+04
10000,3.184038113817101e+04
10001,3.185079530010124e+04
10002,3.287032165728386e+04
10003,3.288073786496707e+04
10004,3.289115260865089e+04
10005,3.290156583812318e+04
10006,3.291197750329546e+04
10007,3.292238755420458e+04
10008,3.293279594101772e+04
10009,3.294320261403733e+04
10010,3.295360752370595e+04
10011,3.296401062061126e+04
