buffer distance [km],buffer Euclidean area [°2]
9976,3.180723882900515e+04
9977,3.181894426374980e+04
9978,3.183065707832164e+04
9979,3.184237711404550e+04
9980,3.185410420982839e+04
9981,3.186583820220151e+04
9982,3.187757892536455e+04
9983,3.188932621123220e+04
9984,3.190107988948309e+04
9985,3.191283978761057e+04
9986,3.192460573097589e+04
9987,3.193637754286325e+04
9988,3.194815504453703e+04
9989,3.195993805530102e+04
9990,3.197172639255963e+04
9991,3.198351987188073e+04
9992,3.199531830706084e+04
9993,3.200712151019145e+04
9994,3.201892929172767e+04
9995,3.203074146055804e+04
9996,3.204255782407622e+04
9997,3.205437818825406e+04
9998,3.206620235771581e+04
9999,3.207803013581436e+04
10000,3.208986132470804e+04
10001,3.210169572543853e+04
10002,3.261808646517558e+04
10003,3.262992402005112e+04
10004,3.264175855270687e+04
10005,3.265358986322312e+04
10006,3.266541775272531e+04
10007,3.267724202346184e+04
10008,3.268906247888192e+04
10009,3.270087892371263e+04
10010,3.271269116403458e+04
10011,3.272449900735625e+04
